# OCR 形近字混淆表（合成语料生成器变换⑥专用，手写）。
# 格式：字符<TAB>形近字[,形近字...]  以 # 开头或空行忽略。
# 模拟扫描件 OCR 误识：源字符被替换为其形近字，配合随机漏字/插空格。
0	O,o
O	0
l	1,I
1	l
5	S
8	B
日	曰,目
曰	日
目	日
己	已,巳
已	己,巳
巳	已,己
未	末
末	未
土	士
士	土
干	千
千	干
人	入,八
入	人
八	人,入
大	犬,太
太	大
天	夭,天
王	玉,主
玉	王
主	王
门	问,们
问	门
戊	戌,戍
戌	戊
拨	拔
拔	拨
壁	璧
籍	藉
辩	辨,辫
辨	辩
即	既
既	即
折	拆
拆	折
低	抵
抵	低
钩	钓
钓	钩
拾	抬
抬	拾
栽	裁,载
裁	栽
载	栽,裁
贝	见
见	贝
乙	己
话	活
活	话
未	来
沐	休
休	体
体	休
田	由,甲
由	田,甲
甲	由,田
爪	瓜
瓜	爪
刀	刃
刃	刀
